iter	Passed	Remaining
607	86649	55865
608	86769	55709
609	86895	55555
610	87031	55409
611	87149	55251
612	87290	55108
613	87417	54956
614	87561	54815
615	87704	54672
616	87830	54520
617	87978	54381
618	88079	54213
619	88190	54052
620	88288	53882
621	88406	53726
622	88556	53588
623	88711	53454
624	88863	53318
625	89029	53190
626	89168	53046
627	89300	52897
628	89453	52761
629	89589	52615
630	89739	52478
631	89876	52333
632	89995	52177
633	90135	52033
634	90281	51894
635	90444	51763
636	90591	51624
637	90723	51476
638	90858	51330
639	90994	51184
640	91125	51035
641	91285	50903
642	91413	50753
643	91556	50611
644	91666	50451
645	91798	50304
646	91944	50164
647	92074	50015
648	92205	49867
649	92342	49723
650	92501	49590
651	92650	49451
652	92803	49315
653	92947	49174
654	93110	49042
655	93255	48902
656	93388	48755
657	93514	48604
658	93673	48471
659	93804	48323
660	93944	48180
661	94089	48039
662	94222	47893
663	94366	47751
664	94515	47613
665	94685	47485
666	94865	47361
667	95011	47221
668	95167	47085
669	95310	46944
670	95429	46790
671	95600	46662
672	95716	46506
673	95785	46329
674	95858	46153
675	95965	45995
676	96099	45849
677	96256	45714
678	96376	45562
679	96497	45410
680	96630	45264
681	96775	45123
682	96874	44962
683	97001	44813
684	97139	44670
685	97255	44516
686	97386	44369
687	97485	44208
688	97610	44059
689	97745	43914
690	97842	43753
691	97970	43605
692	98110	43462
693	98236	43314
694	98355	43163
695	98484	43016
696	98633	42877
697	98757	42728
698	98940	42605
699	99044	42447
700	99175	42301
701	99316	42159
702	99453	42016
703	99555	41858
704	99691	41715
705	99832	41573
706	99969	41429
707	100102	41285
708	100241	41143
709	100361	40992
710	100489	40845
711	100608	40695
712	100746	40553
713	100875	40406
714	101007	40261
715	101128	40112
716	101265	39969
717	101398	39825
718	101575	39697
719	101700	39550
720	101795	39390
721	101942	39252
722	102075	39107
723	102215	38966
724	102340	38818
725	102507	38687
726	102632	38540
727	102770	38397
728	102914	38257
729	103044	38112
730	103183	37970
731	103301	37820
732	103444	37680
733	103584	37538
734	103739	37402
735	103877	37260
736	103999	37112
737	104122	36965
738	104262	36823
739	104409	36684
740	104552	36544
741	104695	36403
742	104849	36266
743	104985	36124
744	105132	35984
745	105300	35853
746	105430	35708
747	105577	35568
748	105713	35425
749	105865	35288
750	106004	35146
751	106134	35001
752	106246	34851
753	106388	34710
754	106533	34570
755	106664	34425
756	106801	34283
757	106939	34141
758	107065	33995
759	107193	33850
760	107331	33708
