iter	Passed	Remaining
358	82219	146804
359	82675	146978
360	82928	146791
361	83118	146490
362	83371	146302
363	83544	145973
364	83802	145792
365	84000	145508
366	84241	145299
367	84407	144960
368	84622	144707
369	84912	144581
370	85106	144290
371	85273	143955
372	85452	143642
373	85706	143456
374	86002	143337
375	86189	143037
376	86455	142869
377	87098	143321
378	87495	143363
379	87688	143070
380	87863	142749
381	88096	142522
382	88300	142249
383	88453	141893
384	88627	141573
385	88908	141424
386	89149	141210
387	89386	140991
388	89522	140611
389	89808	140470
390	90049	140256
391	90278	140024
392	90429	139670
393	90685	139481
394	90853	139155
395	91080	138921
396	91253	138603
397	91496	138393
