iter	Passed	Remaining
154	36114	196880
155	36371	196780
156	36535	196172
157	36718	195679
158	37108	196280
159	37368	196183
160	37541	195635
161	37707	195053
162	37862	194420
163	38150	194475
164	38405	194354
165	38628	194074
166	38809	193583
167	39064	193463
168	39242	192961
169	39427	192500
170	39637	192161
171	40114	193108
172	40305	192676
173	40477	192150
174	40715	191946
175	41018	192040
176	41265	191874
177	41455	191440
178	41653	191046
179	42014	191400
180	42503	192320
181	42726	192033
182	42979	191879
183	43146	191345
184	43340	190933
185	43735	191402
186	43908	190894
187	44189	190859
188	44369	190389
189	44543	189894
190	44746	189526
191	45016	189443
192	45232	189131
193	45450	188832
194	45899	189484
195	46067	188972
196	46295	188707
197	46449	188144
198	46627	187682
199	46781	187127
200	46973	186727
201	47265	186720
202	47494	186467
203	47732	186251
204	47968	186024
205	48209	185816
206	48419	185492
207	48628	185160
208	48848	184877
209	49049	184521
210	49266	184223
211	49451	183811
212	49681	183566
213	49846	183080
214	50094	182904
215	50470	183189
216	50654	182778
217	50889	182548
218	51070	182127
219	51221	181602
220	51375	181091
221	51624	180918
222	51812	180529
223	52030	180250
224	52414	180539
225	52725	180571
226	52906	180163
227	53061	179663
228	53230	179216
229	53442	178916
230	53681	178705
231	53846	178250
232	54123	178167
233	54391	178052
234	54625	177822
235	54887	177687
236	55185	177665
237	55608	178041
238	55797	177664
239	56066	177543
240	56287	177271
241	56808	177937
242	57067	177778
243	57290	177505
244	57677	177740
245	57841	177287
246	58080	177064
247	58375	177008
248	58578	176676
249	58770	176312
250	59000	176062
251	59212	175757
252	59402	175388
253	59630	175134
254	59820	174770
255	60051	174523
256	60322	174396
257	60564	174180
258	60777	173885
259	60992	173594
260	61176	173216
261	61601	173518
262	61874	173389
263	62058	173011
264	62279	172737
265	62705	173029
266	62931	172765
267	63100	172349
268	63367	172200
269	63556	171838
270	63795	171612
271	63967	171205
272	64169	170882
273	64371	170561
274	64669	170492
275	64840	170089
276	65025	169722
277	65397	169846
278	65664	169691
279	65874	169390
280	66051	169006
281	66241	168656
282	66459	168379
283	66757	168303
284	66938	167932
285	67161	167669
286	67396	167434
287	67596	167114
288	67912	167078
289	68149	166848
290	68388	166623
291	68570	166259
292	68763	165924
293	69025	165754
294	69263	165527
295	69462	165208
296	69686	164947
297	69834	164510
298	70244	164686
299	70389	164241
300	70550	163837
301	70838	163726
302	71032	163399
303	71257	163141
304	71424	162754
305	71611	162413
306	72072	162691
307	72272	162379
308	72528	162192
309	72723	161867
310	72942	161599
311	73159	161325
312	73354	161004
313	73573	160737
314	73957	160828
315	74388	161018
316	74563	160651
317	74785	160388
318	74977	160062
319	75195	159789
320	75362	159411
321	75538	159052
322	75727	158722
323	75932	158426
324	76259	158386
325	76447	158054
326	76640	157734
327	77080	157920
328	77291	157636
329	77540	157430
330	77769	157182
331	78046	157032
332	78349	156934
333	78548	156626
334	78774	156373
335	78999	156117
336	79272	155958
337	79443	155595
338	79608	155225
339	79855	155013
340	80033	154668
341	80204	154312
342	80451	154100
343	80684	153863
344	80873	153541
345	81178	153441
346	81471	153315
347	81742	153148
348	82043	153038
349	82215	152685
350	82570	152672
351	82742	152321
352	82992	152114
353	83248	151916
354	83413	151553
355	83619	151266
356	83826	150982
357	84127	150866
358	84313	150543
359	84501	150224
360	84737	149992
361	84927	149678
362	85217	149540
363	85460	149321
364	85702	149098
365	85860	148731
366	86016	148361
367	86202	148043
368	86438	147812
369	86637	147517
370	86831	147215
371	87028	146919
372	87209	146596
373	87493	146446
374	87716	146194
375	88027	146088
376	88260	145852
377	88419	145494
378	88576	145134
379	88792	144872
380	89077	144721
381	89252	144392
382	89412	144040
383	89559	143668
384	89767	143394
385	90027	143204
386	90285	143010
387	90685	143039
388	90951	142856
389	91130	142536
390	91361	142299
391	91578	142040
392	91774	141747
393	92010	141519
394	92245	141287
395	92455	141018
396	92619	140678
397	92886	140496
