iter	Passed	Remaining
742	50728	17546
743	50797	17478
744	50860	17408
745	50925	17339
746	50984	17267
747	51041	17195
748	51107	17126
749	51178	17059
750	51245	16990
751	51313	16922
752	51376	16852
753	51443	16784
754	51499	16711
755	51565	16642
756	51619	16569
757	51689	16502
758	51754	16433
759	51814	16362
760	51886	16295
761	51954	16227
762	52019	16158
763	52082	16088
764	52142	16017
765	52211	15949
766	52272	15879
767	52334	15809
768	52395	15739
769	52450	15667
770	52519	15599
771	52577	15527
772	52645	15459
773	52711	15391
774	52767	15319
775	52822	15247
776	52882	15177
777	52948	15108
778	53013	15039
779	53071	14968
780	53140	14901
781	53209	14833
782	53274	14764
783	53338	14695
784	53402	14626
785	53472	14558
786	53534	14488
787	53595	14418
788	53664	14351
789	53735	14284
790	53796	14214
791	53861	14145
792	53927	14076
793	53996	14009
794	54052	13937
795	54115	13868
796	54184	13801
797	54250	13732
798	54310	13662
799	54377	13594
800	54441	13525
801	54503	13455
802	54563	13385
803	54627	13317
804	54696	13249
805	54766	13181
806	54829	13112
807	54893	13043
808	54952	12973
809	55009	12903
810	55076	12835
811	55141	12766
812	55209	12698
813	55285	12632
814	55350	12564
815	55410	12494
816	55474	12425
817	55539	12357
818	55601	12287
819	55670	12220
820	55737	12152
821	55805	12084
822	55866	12014
823	55931	11946
824	55996	11878
825	56063	11809
826	56125	11740
827	56187	11671
828	56249	11602
829	56313	11534
830	56374	11464
831	56436	11395
832	56501	11327
833	56565	11258
834	56629	11190
835	56698	11122
836	56759	11053
837	56824	10985
838	56882	10915
839	56944	10846
840	57010	10778
841	57075	10710
842	57141	10642
843	57206	10573
844	57263	10504
845	57329	10435
846	57392	10367
847	57459	10299
848	57519	10230
849	57587	10162
850	57655	10094
851	57716	10025
852	57779	9957
853	57839	9888
854	57896	9818
855	57954	9749
856	58021	9681
857	58088	9613
858	58151	9545
859	58215	9476
860	58275	9407
861	58339	9339
862	58406	9271
863	58474	9204
864	58532	9135
865	58605	9068
866	58668	8999
867	58735	8932
868	58792	8862
869	58861	8795
870	58931	8728
871	58991	8659
872	59051	8590
873	59114	8522
